"Sygnatura czasowa","🐱 Link do GitHuba","🧭 Jak długo trwa Twoja przygoda z programowaniem?","👨‍💻 Czy tworzyłeś coś ""własnego""?","🔨 Czy udało Ci się znaleźć pracę jako programista/tka?","📅 W którym roku rozpocząłeś/aś szukać pracy jako Entry / Junior programista?","🚶 Jak oceniasz szybkość znalezienia pracy?","⌚ Jak długo to trwało?","🕰️ Oceniasz, że znalazłeś/aś pracę w czasie adekwatnym do umiejętności?","👨‍💼 Ile rozmów kwalifikacyjnych musiałeś/aś przejść zanim udało Ci się znaleźć pracę?","📬 Do ilu pracodawców wysłałeś/aś CV (mniej więcej)?","👨‍⚖️ Jaki procent pracodawców się do Ciebie odezwało po przesłaniu CV1?","👨‍🔧 Jaki procent pracodawców zaprosiło Cię na rozmowę techniczną po przesłaniu CV1?","📅 W którym roku rozpocząłeś/aś szukać pracę jako Entry / Junior programista?","🚶 Twoim zdaniem - jak oceniasz proces rekrutacji w zawodzie?","⌚ Jak dawno rozpocząłeś/aś poszukiwać pracy?","🕰️ Jak oceniasz swoje umięjetności?","👨‍💼 Ile rozmów kwalifikacyjnych już przeszedłeś/przeszłaś?","📬 Do ilu pracodawców wysłałeś CV (mniej więcej)?","👨‍⚖️ Jaki procent pracodawców się do Ciebie odezwało po przesłaniu CV2?","👨‍🔧 Jaki procent pracodawców zaprosiło Cię na rozmowę techniczną po przesłaniu CV2?","👨‍🔬 Jakie miałeś/aś doświadczenie przed znalezieniem pracy?","🔏 Zgoda na przetwarzanie informacji ","😶 Jakbyś się zaklasyfikował/a?","📦 Tech Stack","🟢 Język #1","🟢 Ocena Języka #1","🔵 Język #2","🔵 Ocena Języka #2","🟣 Język #3","🟣 Ocena Języka #3","🐻 Umiejętności Mięciutkie "
"2021/04/20 7:48:25 PM EET","Nie mam","4 lata","Nie","Nie","","","","","","","","","1998-04-28","1","ponad 2 lata","Z moimi umiejętnościami powinienem znaleźć pracę dużo szybciej","10","","0%","0%","Bootcamp;Oglądanie filmików na yt o tym jak hindus sklepał bota do gry z zapałek","Tak","CEO dużej międzynarodowej korporacji (np. Google)","Cobol","Nie musze go znac by poznawać języki","10","Bolzgi","10","","","Prezentowanie;Przywództwo;Bycie k00zakiem"
"2021/04/20 7:49:24 PM EET","https://github.com/Bartor","5 lat+","Tak","Tak","2019-05-01","9","1 miesiąc","Nie jestem pewien","3","","100%","100%","","","","","","","","","Studia;Stworzenie własnego programu/apki","Tak","Fullstack","JavaScript;Kotlin;TypeScript;HTML / CSS","TypeScript","7","JavaScript","9","Kotlin","5","Organizacja;Umiejętności Analityczne;Kreatywność;Prezentowanie;Pisanie (reporty/dokumentacje)"
"2021/04/20 7:53:00 PM EET","https://github.com/DominikIlski","4 lata","Nie","Tak","2020-05-20","10","1 miesiąc","Tak - myślę, że moje umiejętności mogą być na niewyróżniającym się poziomie, więc potrzebna była cierpliwość","2","Opcja 1","100%","100%","","","","","","","","","Studia","Tak","Fullstack","JavaScript;HTML / CSS;React AWS","javascript","8","c#","7","","","Komunikatywność;Organizacja;Umiejętności Analityczne;Kreatywność;Zarządzanie Projektem;Ciekawość;Zaradność;Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV;Dostępność Czasowa;Publiczne Przemówienia;Prezentowanie;Pisanie (reporty/dokumentacje);Tolerancja na zmiany i niepewność;Innowacyjność;Przywództwo"
"2021/04/20 8:04:40 PM EET","https://github.com/B3lg4r4th","5 lat+","Tak","Tak","2018-06-01","5","1 miesiąc","Raczej tak - na to, co jestem w stanie sobą zareprezentować to mogło to mniej więcej tyle trwać","1","1","100%","100%","","","","","","","","","Studia;Stworzenie własnego programu/apki;Freelancerskie zlecenia;Uruchomienie własnego projektu;Kursy Online / Certyfikaty","Tak","Fullstack","Python;Java;JavaScript;Kotlin;TypeScript;Go;Julia;HTML / CSS","","","","","","","Komunikatywność;Organizacja;Umiejętności Analityczne;Zarządzanie Projektem;Ciekawość;Zaradność;Dostępność Czasowa;Negocjowanie;Tolerancja na zmiany i niepewność;Przywództwo"
"2021/04/20 8:15:08 PM EET","https://github.com/pawelrubin","4,5 roku","Tak","Tak","2019-07-01","9","1 miesiąc","Raczej tak - na to, co jestem w stanie sobą zareprezentować to mogło to mniej więcej tyle trwać","2","Co najmniej kilkunastu ","50%","40%","","","","","","","","","Studia;Stworzenie własnego programu/apki","Tak","Backend Developer","Python;JavaScript;TypeScript;Haskell;HTML / CSS","Python ","8","Js/Ts","6","","","Komunikatywność;Organizacja;Umiejętności Analityczne;Kreatywność;Zarządzanie Projektem;Dyscyplina;Ciekawość;Zaradność;Pisanie (reporty/dokumentacje);Negocjowanie;Innowacyjność;Przywództwo"
"2021/04/20 8:24:27 PM EET","GitHub.com/pawelo98","4 lata","Tak","Tak","2019-07-01","3","1 miesiąc","Raczej tak - na to, co jestem w stanie sobą zareprezentować to mogło to mniej więcej tyle trwać","2","15","20%","10%","","","","","","","","","Studia;Bootcamp;Stworzenie własnego programu/apki;Kursy Online / Certyfikaty","Tak","Fullstack","Python;Java;JavaScript;C#;C/C++;R;TypeScript;Scala;Matlab;HTML / CSS","Java","7","Javascript","6","Python","4","Komunikatywność;Organizacja;Umiejętności Analityczne;Zarządzanie Projektem;Dyscyplina;Zaradność;Przywództwo"
"2021/04/20 8:36:53 PM EET","https://github.com/m1kha3l","5 lat+","Tak","Tak","2020-04-01","6","4 miesiące","Tak - myślę, że moje umiejętności mogą być na niewyróżniającym się poziomie, więc potrzebna była cierpliwość","3","25","20%","10%","","","","","","","","","Studia;Stworzenie własnego programu/apki;Kursy Online / Certyfikaty","Tak","Backend Developer","Java","Java","8","JavaScript","4","C++","2","Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV"
"2021/04/20 8:39:41 PM EET","https://github.com/barchuckie","4,5 roku","Tak","Tak","2019-12-01","5","6 miesięcy","Raczej tak - na to, co jestem w stanie sobą zareprezentować to mogło to mniej więcej tyle trwać","4","40","30%","10%","","","","","","","","","Studia;Uruchomienie własnego projektu;Praktyki","Tak","Fullstack","Python;JavaScript;HTML / CSS","Python","7","JavaScript","4","","","Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV"
"2021/04/21 9:37:45 AM EET","https://github.com/WojtekBoman","4 lata","Tak","Tak","2021-02-10","5","2 miesiące","Raczej tak - na to, co jestem w stanie sobą zareprezentować, to mogło to mniej więcej tyle trwać","3","10","20%","20%","","","","","","","","","Studia;Bootcamp;Stworzenie własnego programu/apki;Kursy Online / Certyfikaty","Tak","Fullstack","Java;JavaScript;TypeScript","JavaScript","8","Java","7","","","Komunikatywność;Zarządzanie Projektem;Ciekawość"
"2021/04/21 4:56:15 PM EET","https://github.com/tomaxo14","3,5 roku","Nie","Tak","2020-06-01","3","8 miesięcy","Raczej tak - na to, co jestem w stanie sobą zareprezentować, to mogło to mniej więcej tyle trwać","5","20","20%","10%","","","","","","","","","Studia","Tak","Backend Developer","Java;JavaScript;C#;HTML / CSS","","","","","","","Komunikatywność"
